coverage_group	coverage_description	setting	setting_label	random_state	cv_splits	n	n_with_mouse_pc1	n_with_saluki_mouse_prior	pearson	spearman	r2	delta_vs_human_only_pearson	delta_vs_human_only_r2
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	101	10	11107	11107	11107	0.7449288243455836	0.7363286830066368	0.5523449667314417	0.0007909387195618178	0.001211122042400814
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	coverage_aware_fallback	coverage_aware_fallback	101	10	11107	11107	11107	0.8426949294759507	0.834305411509048	0.7101338328286402	0.09855704384992892	0.15899998813959926
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	compact_all_global	human_only	101	10	1809	462	0	0.7526272479730662	0.7481736228325604	0.5662336356801418	0.0	0.0
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	compact_all_plus_both_mouse_priors_global	real_both_priors	101	10	1809	462	0	0.7469664768587138	0.7436289031869288	0.5521441028294624	-0.005660771114352481	-0.014089532850679487
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	101	10	1809	462	0	0.7529627873108584	0.7482876305251558	0.5666507255024154	0.0003355393377921789	0.00041708982227350866
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	coverage_aware_fallback	coverage_aware_fallback	101	10	1809	462	0	0.7574491713852357	0.7533497541059836	0.5734744056772385	0.004821923412169471	0.007240769997096663
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	compact_all_global	human_only	101	10	462	462	0	0.6835315621909264	0.6697979100962567	0.46450537205688247	0.0	0.0
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	compact_all_plus_both_mouse_priors_global	real_both_priors	101	10	462	462	0	0.7186107219568445	0.7081550590075114	0.5018610867617554	0.03507915976591813	0.03735571470487298
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	101	10	462	462	0	0.6834018133863847	0.6727452586112742	0.4647134785038295	-0.00012974880454164062	0.00020810644694702063
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	coverage_aware_fallback	coverage_aware_fallback	101	10	462	462	0	0.7186107219568445	0.7081550590075114	0.5018610867617554	0.03507915976591813	0.03735571470487298
